AC-ID,POSITIVES,NEGATIVES,ROC-AUC,STATUS
specifier-1.1,1,75,0.9866666667,ok
specifier-1.2,10,66,0.5924242424,ok
specifier-1.3,3,73,0.2374429224,ok
specifier-2.1,0,76,,indefinie_une_seule_classe
specifier-2.2,0,76,,indefinie_une_seule_classe
specifier-2.3,0,76,,indefinie_une_seule_classe
specifier-3.1,0,76,,indefinie_une_seule_classe
specifier-3.2,0,76,,indefinie_une_seule_classe
specifier-3.3,0,76,,indefinie_une_seule_classe
specifier-4.1,0,76,,indefinie_une_seule_classe
specifier-4.2,0,76,,indefinie_une_seule_classe
specifier-4.3,0,76,,indefinie_une_seule_classe
modeliser-1.1,3,73,0.8858447489,ok
modeliser-1.2,1,75,0.7866666667,ok
modeliser-1.3,1,75,1.0000000000,ok
modeliser-1.4,0,76,,indefinie_une_seule_classe
modeliser-2.1,0,76,,indefinie_une_seule_classe
modeliser-2.2,0,76,,indefinie_une_seule_classe
modeliser-2.3,0,76,,indefinie_une_seule_classe
modeliser-2.4,0,76,,indefinie_une_seule_classe
modeliser-3.1,0,76,,indefinie_une_seule_classe
modeliser-3.2,0,76,,indefinie_une_seule_classe
modeliser-4.1,0,76,,indefinie_une_seule_classe
modeliser-4.2,0,76,,indefinie_une_seule_classe
modeliser-4.3,0,76,,indefinie_une_seule_classe
modeliser-4.4,0,76,,indefinie_une_seule_classe
concevoir-1.1,14,62,0.6808755760,ok
concevoir-1.2,8,68,0.3786764706,ok
concevoir-1.3,4,72,0.7187500000,ok
concevoir-2.1,0,76,,indefinie_une_seule_classe
concevoir-2.2,0,76,,indefinie_une_seule_classe
concevoir-2.3,0,76,,indefinie_une_seule_classe
concevoir-2.4,0,76,,indefinie_une_seule_classe
concevoir-2.5,0,76,,indefinie_une_seule_classe
concevoir-3.1,0,76,,indefinie_une_seule_classe
concevoir-3.2,0,76,,indefinie_une_seule_classe
concevoir-3.3,0,76,,indefinie_une_seule_classe
concevoir-3.4,0,76,,indefinie_une_seule_classe
concevoir-4.1,0,76,,indefinie_une_seule_classe
concevoir-4.2,0,76,,indefinie_une_seule_classe
concevoir-4.3,0,76,,indefinie_une_seule_classe
concevoir-4.4,0,76,,indefinie_une_seule_classe
concevoir-4.5,0,76,,indefinie_une_seule_classe
concevoir-4.6,0,76,,indefinie_une_seule_classe
developper-1.1,5,71,0.7323943662,ok
developper-1.2,0,76,,indefinie_une_seule_classe
developper-1.3,0,76,,indefinie_une_seule_classe
developper-2.1,0,76,,indefinie_une_seule_classe
developper-2.2,0,76,,indefinie_une_seule_classe
developper-3.1,0,76,,indefinie_une_seule_classe
developper-3.2,0,76,,indefinie_une_seule_classe
developper-3.3,0,76,,indefinie_une_seule_classe
developper-4.1,0,76,,indefinie_une_seule_classe
developper-4.2,0,76,,indefinie_une_seule_classe
gerer-1.1,1,75,1.0000000000,ok
gerer-1.2,20,56,0.2741071429,ok
gerer-2.1,0,76,,indefinie_une_seule_classe
gerer-2.2,0,76,,indefinie_une_seule_classe
gerer-2.3,0,76,,indefinie_une_seule_classe
gerer-3.1,0,76,,indefinie_une_seule_classe
gerer-3.2,0,76,,indefinie_une_seule_classe
gerer-3.3,0,76,,indefinie_une_seule_classe
gerer-4.1,0,76,,indefinie_une_seule_classe
gerer-4.2,0,76,,indefinie_une_seule_classe
gerer-4.3,0,76,,indefinie_une_seule_classe
communiquer-1.1,1,75,0.9866666667,ok
communiquer-1.2,0,76,,indefinie_une_seule_classe
communiquer-1.3,3,73,0.7716894977,ok
communiquer-2.1,0,76,,indefinie_une_seule_classe
communiquer-2.2,0,76,,indefinie_une_seule_classe
communiquer-2.3,0,76,,indefinie_une_seule_classe
communiquer-3.1,0,76,,indefinie_une_seule_classe
communiquer-3.2,0,76,,indefinie_une_seule_classe
communiquer-3.3,0,76,,indefinie_une_seule_classe
communiquer-3.4,0,76,,indefinie_une_seule_classe
communiquer-4.1,0,76,,indefinie_une_seule_classe
communiquer-4.2,0,76,,indefinie_une_seule_classe
communiquer-4.3,0,76,,indefinie_une_seule_classe
communiquer-4.4,0,76,,indefinie_une_seule_classe
