AC-ID,POSITIVES,NEGATIVES,ROC-AUC,STATUS
specifier-1.1,0,40,,indefinie_une_seule_classe
specifier-1.2,0,40,,indefinie_une_seule_classe
specifier-1.3,0,40,,indefinie_une_seule_classe
specifier-2.1,0,40,,indefinie_une_seule_classe
specifier-2.2,0,40,,indefinie_une_seule_classe
specifier-2.3,0,40,,indefinie_une_seule_classe
specifier-3.1,0,40,,indefinie_une_seule_classe
specifier-3.2,0,40,,indefinie_une_seule_classe
specifier-3.3,0,40,,indefinie_une_seule_classe
specifier-4.1,0,40,,indefinie_une_seule_classe
specifier-4.2,0,40,,indefinie_une_seule_classe
specifier-4.3,0,40,,indefinie_une_seule_classe
modeliser-1.1,0,40,,indefinie_une_seule_classe
modeliser-1.2,0,40,,indefinie_une_seule_classe
modeliser-1.3,0,40,,indefinie_une_seule_classe
modeliser-1.4,0,40,,indefinie_une_seule_classe
modeliser-2.1,0,40,,indefinie_une_seule_classe
modeliser-2.2,0,40,,indefinie_une_seule_classe
modeliser-2.3,0,40,,indefinie_une_seule_classe
modeliser-2.4,0,40,,indefinie_une_seule_classe
modeliser-3.1,0,40,,indefinie_une_seule_classe
modeliser-3.2,0,40,,indefinie_une_seule_classe
modeliser-4.1,0,40,,indefinie_une_seule_classe
modeliser-4.2,0,40,,indefinie_une_seule_classe
modeliser-4.3,0,40,,indefinie_une_seule_classe
modeliser-4.4,0,40,,indefinie_une_seule_classe
concevoir-1.1,0,40,,indefinie_une_seule_classe
concevoir-1.2,0,40,,indefinie_une_seule_classe
concevoir-1.3,0,40,,indefinie_une_seule_classe
concevoir-2.1,0,40,,indefinie_une_seule_classe
concevoir-2.2,2,38,0.4210526316,ok
concevoir-2.3,0,40,,indefinie_une_seule_classe
concevoir-2.4,0,40,,indefinie_une_seule_classe
concevoir-2.5,0,40,,indefinie_une_seule_classe
concevoir-3.1,0,40,,indefinie_une_seule_classe
concevoir-3.2,2,38,0.6973684211,ok
concevoir-3.3,0,40,,indefinie_une_seule_classe
concevoir-3.4,2,38,0.9868421053,ok
concevoir-4.1,0,40,,indefinie_une_seule_classe
concevoir-4.2,0,40,,indefinie_une_seule_classe
concevoir-4.3,2,38,0.4078947368,ok
concevoir-4.4,0,40,,indefinie_une_seule_classe
concevoir-4.5,2,38,0.9736842105,ok
concevoir-4.6,0,40,,indefinie_une_seule_classe
developper-1.1,0,40,,indefinie_une_seule_classe
developper-1.2,0,40,,indefinie_une_seule_classe
developper-1.3,0,40,,indefinie_une_seule_classe
developper-2.1,23,17,0.6419437340,ok
developper-2.2,1,39,0.7948717949,ok
developper-3.1,22,18,0.5606060606,ok
developper-3.2,4,36,0.9375000000,ok
developper-3.3,0,40,,indefinie_une_seule_classe
developper-4.1,0,40,,indefinie_une_seule_classe
developper-4.2,0,40,,indefinie_une_seule_classe
gerer-1.1,0,40,,indefinie_une_seule_classe
gerer-1.2,0,40,,indefinie_une_seule_classe
gerer-2.1,4,36,0.8958333333,ok
gerer-2.2,0,40,,indefinie_une_seule_classe
gerer-2.3,4,36,0.8611111111,ok
gerer-3.1,0,40,,indefinie_une_seule_classe
gerer-3.2,0,40,,indefinie_une_seule_classe
gerer-3.3,0,40,,indefinie_une_seule_classe
gerer-4.1,0,40,,indefinie_une_seule_classe
gerer-4.2,0,40,,indefinie_une_seule_classe
gerer-4.3,0,40,,indefinie_une_seule_classe
communiquer-1.1,0,40,,indefinie_une_seule_classe
communiquer-1.2,0,40,,indefinie_une_seule_classe
communiquer-1.3,0,40,,indefinie_une_seule_classe
communiquer-2.1,0,40,,indefinie_une_seule_classe
communiquer-2.2,0,40,,indefinie_une_seule_classe
communiquer-2.3,0,40,,indefinie_une_seule_classe
communiquer-3.1,0,40,,indefinie_une_seule_classe
communiquer-3.2,0,40,,indefinie_une_seule_classe
communiquer-3.3,0,40,,indefinie_une_seule_classe
communiquer-3.4,0,40,,indefinie_une_seule_classe
communiquer-4.1,0,40,,indefinie_une_seule_classe
communiquer-4.2,0,40,,indefinie_une_seule_classe
communiquer-4.3,0,40,,indefinie_une_seule_classe
communiquer-4.4,0,40,,indefinie_une_seule_classe
