AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN001,Désigner les choses (identifiant significatif),0,0.3829301894
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN002,Être précis quant aux types de données utilisés,0,0.5183774829
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN003,Comprendre le rôle de l'analyse,0,0.3601599038
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN004,Comprendre et appliquer des consignes algorithmiques sur un exemple,0,0.2648752332
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN101,Identifier les entrées et sorties d'un problème,1,0.4886142612
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN102,Décomposer logiquement un problème,0,0.3499100208
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN103,Généraliser un problème,0,0.2411529273
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN104,Savoir si un problème doit être décomposé,0,0.3185946941
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN105,Identifier un problème naturellement récursif (directement ou indirectement),0,0.2531135678
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN106,Formaliser une analyse descendante à l'aide du langage vu en cours,0,0.3879998922
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN201,Identifier les dépendances d'un TAD,0,0.1709337085
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN202,Définir des TAD génériques,0,0.2740799785
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN203,Savoir si une opération identifiée fait partie du TAD à spécifier,0,0.3292109370
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN204,Formaliser des opérations d'un TAD,0,0.3057146668
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN205,Formaliser les préconditions d'une opération d'un TAD,0,0.3550036550
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN206,Formaliser des axiomes ou savoir définir la sémantique d'une opération d'un TAD,0,0.3577823043
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN207,Formaliser un TAD à l'aide le langage vu en cours,0,0.3385294676
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN301,Lister les collections usuelles,0,0.1644327641
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN302,Formaliser sous forme de TAD une collection,0,0.2617495060
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN401,Spécifier les différents types de graphes (étiqueté et/ou valué),0,0.3801983595
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CP001,Comprendre le paradigme de programmation impératif,0,0.1898830831
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CP002,Comprendre le paradigme de programmation structuré,0,0.3323987126
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CP003,Choisir entre une fonction et une procédure,0,0.2714543939
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CP004,Concevoir une signature (préconditions incluses),0,0.2513397336
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CP005,"Choisir un passage de paramètre (E, S, E/S)",0,0.3632026613
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CP006,Comprendre le rôle de l'analyse préliminaire,0,0.3459240794
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD001,Dissocier le rôle de concepteur et utilisateur,0,0.3794359565
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD002,"En tant qu'utilisateur, respecter une signature",0,0.1817888319
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD003,Utiliser le principe d'encapsulation,0,0.1993320882
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD004,Écrire des algorithmes avec le pseudo code utilisé à l'INSA,0,0.3769127131
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD005,"Écrire un pseudo code lisible (indentation, identifiant significatif)",0,0.2885373831
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD006,Choisir la bonne itération,0,0.2215657830
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD007,Utiliser les bonnes catégories de paramètres effectifs pour un passage de paramètre donnée,0,0.4229619205
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD009,Écrire un algorithme qui résout le problème,0,0.3805431128
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD010,Comprendre le rôle de la conception détaillée,0,0.3489158452
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD011,"Utiliser les bons types de données (paramètres formels, variables locales)",0,0.4885481596
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD012,"Reconnaitre la famille d'algorithme (parcourir, rechercher, optimiser, etc.) à utiliser",0,0.2512542605
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD101,Estimer la taille d'un problème (n),0,0.2932429016
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD102,Calculer une complexité dans le pire et le meilleur des cas,0,0.2765223384
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD103,Exprimer une complexité en temps et en espace,0,0.3415850401
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD104,Écrire un algorithme d’une complexité donnée,0,0.4114022851
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD201,Identifier et résoudre le problème des cas non récursifs,0,0.2877355516
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD202,Identifier et résoudre le problème des cas récursifs,0,0.2746375799
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD203,Identifier une récursivité terminale et non terminale et ce que cela implique,0,0.3255241513
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-CD301,Identifier un problème qui se résout à l'aide d'un algorithme dichotomique,0,0.3167601824
