AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-GEN101,Identifier les caractéristiques d'un problème permettant de justifier d'une base de données selon le modèle relationnel,0,0.3948153555
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-GEN102,Expliquer le fonctionnement général et les principaux objectifs d'un SGBD,0,0.2172999829
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-GEN103,Expliciter les étapes de réalisation d'une base de données relationnelle,0,0.4459747374
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-GEN201,Donner un exemple de relation contenue dans la méta-base,0,0.3370742798
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-GEN202,Différencier le schéma d'une instance de base de données,0,0.4978885353
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-CON101,"Concevoir (i.e. définir les schéma) une base de données relationnelle selon les 3 niveaux d'abstraction : externe, conceptuel, interne",0,0.5282607079
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-CON102,Expliciter les éléments d'un schéma E/A,0,0.4391869903
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-CON103,Produire un schéma relationnel cohérent vis à vis du schéma E/A à partir des règles du cours,0,0.3893475533
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-CON104,"Justifier des méthodes de transformation M, N (cas 4) vs. 1,1 (cas 3)",0,0.4057998061
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-CON105,Définir une clé primaire appropriée pour une table au regard du contexte,0,0.2069695890
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-CON106,Définir une clé primaire appropriée pour une table au regard d'un ensemble de dépendances fonctionnelles,0,0.2305730581
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-CON107,Définir les contraintes d'intégrité référentielles,0,0.1567454785
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-CON108,Définir les (autres) contraintes d'intégrité appropriées au regard du contexte,0,0.1565953791
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-EVA201,Identifier les anomalies d'un schéma relationnel,0,0.3496978879
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-EVA202,Définir les dépendances fonctionnelles entre les attributs,0,0.2420706153
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-EVA203,Décomposer un schéma relationnel de manière approprié,0,0.3737028241
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-EVA204,Évaluer la forme normale d'un schéma relationnel,0,0.3300803006
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BD1-EVA205,Réaliser la fermeture transitive d'une couverture minimale,0,0.2098945081
