AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-1-1,Distinguer les entrées/sorties sur un système à microprocesseur,1,0.4353207350
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-1-2,Distinguer les signaux analogiques et numériques,1,0.2822485566
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-1-3,Identifier les entrées/sorties d'un circuit logique,1,0.4533787668
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-2-1,Identifier les priorités de tâches dans un systèmes embarqué,0,0.2238875926
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-2-2,Traduire un cachier des charges en une table de vérité,0,0.3048001230
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-2-3,Programmer des entrées/sorties d'un système embarqué,0,0.4871413112
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-15-3,Différencier les capteurs en fonction de leurs propriétés et de la mesure physique,0,0.4076728821
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-15-4,Identifier les caractéristiques d'un systèmes à microprocesseur,0,0.4021630287
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-1,Identifier les outils logiciel pour la mise en œuvre d'un système embarqué,0,0.3993270397
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-2,Différencier les interfaces disponibles sur une carte électronique,0,0.3312673271
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-3,Distinguer les protocoles de communication dans un système embarqué,0,0.3326337934
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-4,Utiliser des actionneurs pour mettre en œuvre un système embarqué,0,0.3305733800
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-5,Analyser des filtres analogiques passifs et actifs en terme de gain,0,0.3129659593
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-31-2,Etablir une acquisition en choisissant le bon protocole de communication,0,0.2572642267
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-31-4,Utiliser la modulation de largeur d'impulsions pour piloter des actionneurs,0,0.3388322294
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-48-2,Programmer un système numérique pour générer un signal modulé en s'appuyant sur des paramètres pré-définis,0,0.4032267034
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-48-3,Intégrer des requêtes d'interruptions dans un programme,0,0.2736008167
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-48-4,Concevoir un programme avec du multithreading,0,0.3371567428
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-52-1,Evaluer un capteur en fonction d'une documentation,0,0.3232929111
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-52-2,Implémenter une application sur un système embarqué à l'aide de la documentation,0,0.3478873074
specifier-1.2,Décomposer et organiser un processus,ELEC-1-1,Distinguer les entrées/sorties sur un système à microprocesseur,0,0.2489557564
specifier-1.2,Décomposer et organiser un processus,ELEC-1-2,Distinguer les signaux analogiques et numériques,0,0.1377527118
specifier-1.2,Décomposer et organiser un processus,ELEC-1-3,Identifier les entrées/sorties d'un circuit logique,0,0.2794865072
specifier-1.2,Décomposer et organiser un processus,ELEC-2-1,Identifier les priorités de tâches dans un systèmes embarqué,1,0.1727292538
specifier-1.2,Décomposer et organiser un processus,ELEC-2-2,Traduire un cachier des charges en une table de vérité,1,0.2292249501
specifier-1.2,Décomposer et organiser un processus,ELEC-2-3,Programmer des entrées/sorties d'un système embarqué,1,0.3017060757
specifier-1.2,Décomposer et organiser un processus,ELEC-15-3,Différencier les capteurs en fonction de leurs propriétés et de la mesure physique,0,0.1976607144
specifier-1.2,Décomposer et organiser un processus,ELEC-15-4,Identifier les caractéristiques d'un systèmes à microprocesseur,0,0.2730405927
specifier-1.2,Décomposer et organiser un processus,ELEC-17-1,Identifier les outils logiciel pour la mise en œuvre d'un système embarqué,0,0.3459647894
specifier-1.2,Décomposer et organiser un processus,ELEC-17-2,Différencier les interfaces disponibles sur une carte électronique,0,0.2527433038
specifier-1.2,Décomposer et organiser un processus,ELEC-17-3,Distinguer les protocoles de communication dans un système embarqué,0,0.2442087829
specifier-1.2,Décomposer et organiser un processus,ELEC-17-4,Utiliser des actionneurs pour mettre en œuvre un système embarqué,0,0.2892315984
specifier-1.2,Décomposer et organiser un processus,ELEC-17-5,Analyser des filtres analogiques passifs et actifs en terme de gain,0,0.2024078816
specifier-1.2,Décomposer et organiser un processus,ELEC-31-2,Etablir une acquisition en choisissant le bon protocole de communication,0,0.2472408414
specifier-1.2,Décomposer et organiser un processus,ELEC-31-4,Utiliser la modulation de largeur d'impulsions pour piloter des actionneurs,0,0.1362920702
specifier-1.2,Décomposer et organiser un processus,ELEC-48-2,Programmer un système numérique pour générer un signal modulé en s'appuyant sur des paramètres pré-définis,0,0.2832034528
specifier-1.2,Décomposer et organiser un processus,ELEC-48-3,Intégrer des requêtes d'interruptions dans un programme,0,0.2479005903
specifier-1.2,Décomposer et organiser un processus,ELEC-48-4,Concevoir un programme avec du multithreading,0,0.3158982694
specifier-1.2,Décomposer et organiser un processus,ELEC-52-1,Evaluer un capteur en fonction d'une documentation,0,0.1301783323
specifier-1.2,Décomposer et organiser un processus,ELEC-52-2,Implémenter une application sur un système embarqué à l'aide de la documentation,0,0.2410680950
specifier-1.3,Utiliser un langage formel,ELEC-1-1,Distinguer les entrées/sorties sur un système à microprocesseur,0,0.0990596861
specifier-1.3,Utiliser un langage formel,ELEC-1-2,Distinguer les signaux analogiques et numériques,0,0.2307980955
specifier-1.3,Utiliser un langage formel,ELEC-1-3,Identifier les entrées/sorties d'un circuit logique,0,0.2344979346
specifier-1.3,Utiliser un langage formel,ELEC-2-1,Identifier les priorités de tâches dans un systèmes embarqué,0,0.1015646011
specifier-1.3,Utiliser un langage formel,ELEC-2-2,Traduire un cachier des charges en une table de vérité,0,0.1872397214
specifier-1.3,Utiliser un langage formel,ELEC-2-3,Programmer des entrées/sorties d'un système embarqué,0,0.1169131994
specifier-1.3,Utiliser un langage formel,ELEC-15-3,Différencier les capteurs en fonction de leurs propriétés et de la mesure physique,0,0.1088010967
specifier-1.3,Utiliser un langage formel,ELEC-15-4,Identifier les caractéristiques d'un systèmes à microprocesseur,0,0.1649963558
specifier-1.3,Utiliser un langage formel,ELEC-17-1,Identifier les outils logiciel pour la mise en œuvre d'un système embarqué,0,0.2824718952
specifier-1.3,Utiliser un langage formel,ELEC-17-2,Différencier les interfaces disponibles sur une carte électronique,0,0.2216541916
specifier-1.3,Utiliser un langage formel,ELEC-17-3,Distinguer les protocoles de communication dans un système embarqué,0,0.2285124063
specifier-1.3,Utiliser un langage formel,ELEC-17-4,Utiliser des actionneurs pour mettre en œuvre un système embarqué,0,0.2372569889
specifier-1.3,Utiliser un langage formel,ELEC-17-5,Analyser des filtres analogiques passifs et actifs en terme de gain,0,0.0406459421
specifier-1.3,Utiliser un langage formel,ELEC-31-2,Etablir une acquisition en choisissant le bon protocole de communication,0,0.1332878470
specifier-1.3,Utiliser un langage formel,ELEC-31-4,Utiliser la modulation de largeur d'impulsions pour piloter des actionneurs,0,0.2679438591
specifier-1.3,Utiliser un langage formel,ELEC-48-2,Programmer un système numérique pour générer un signal modulé en s'appuyant sur des paramètres pré-définis,0,0.2628113627
specifier-1.3,Utiliser un langage formel,ELEC-48-3,Intégrer des requêtes d'interruptions dans un programme,0,0.2127477527
specifier-1.3,Utiliser un langage formel,ELEC-48-4,Concevoir un programme avec du multithreading,0,0.2045069933
specifier-1.3,Utiliser un langage formel,ELEC-52-1,Evaluer un capteur en fonction d'une documentation,0,0.1249596700
specifier-1.3,Utiliser un langage formel,ELEC-52-2,Implémenter une application sur un système embarqué à l'aide de la documentation,0,0.2973098159
specifier-2.1,Analyser la demande,ELEC-1-1,Distinguer les entrées/sorties sur un système à microprocesseur,0,0.1610668302
specifier-2.1,Analyser la demande,ELEC-1-2,Distinguer les signaux analogiques et numériques,0,0.2238626480
specifier-2.1,Analyser la demande,ELEC-1-3,Identifier les entrées/sorties d'un circuit logique,0,0.3180515170
specifier-2.1,Analyser la demande,ELEC-2-1,Identifier les priorités de tâches dans un systèmes embarqué,0,0.1926016361
specifier-2.1,Analyser la demande,ELEC-2-2,Traduire un cachier des charges en une table de vérité,0,0.2750188708
specifier-2.1,Analyser la demande,ELEC-2-3,Programmer des entrées/sorties d'un système embarqué,0,0.2090216726
specifier-2.1,Analyser la demande,ELEC-15-3,Différencier les capteurs en fonction de leurs propriétés et de la mesure physique,0,0.3153400123
specifier-2.1,Analyser la demande,ELEC-15-4,Identifier les caractéristiques d'un systèmes à microprocesseur,0,0.2525798976
specifier-2.1,Analyser la demande,ELEC-17-1,Identifier les outils logiciel pour la mise en œuvre d'un système embarqué,0,0.1684513390
specifier-2.1,Analyser la demande,ELEC-17-2,Différencier les interfaces disponibles sur une carte électronique,0,0.1736754775
specifier-2.1,Analyser la demande,ELEC-17-3,Distinguer les protocoles de communication dans un système embarqué,0,0.0908923447
specifier-2.1,Analyser la demande,ELEC-17-4,Utiliser des actionneurs pour mettre en œuvre un système embarqué,0,0.1591067463
specifier-2.1,Analyser la demande,ELEC-17-5,Analyser des filtres analogiques passifs et actifs en terme de gain,0,0.3075888455
specifier-2.1,Analyser la demande,ELEC-31-2,Etablir une acquisition en choisissant le bon protocole de communication,0,0.2689392269
specifier-2.1,Analyser la demande,ELEC-31-4,Utiliser la modulation de largeur d'impulsions pour piloter des actionneurs,0,0.1905801296
specifier-2.1,Analyser la demande,ELEC-48-2,Programmer un système numérique pour générer un signal modulé en s'appuyant sur des paramètres pré-définis,0,0.2345295697
specifier-2.1,Analyser la demande,ELEC-48-3,Intégrer des requêtes d'interruptions dans un programme,0,0.2445137054
specifier-2.1,Analyser la demande,ELEC-48-4,Concevoir un programme avec du multithreading,0,0.2280058563
specifier-2.1,Analyser la demande,ELEC-52-1,Evaluer un capteur en fonction d'une documentation,0,0.2684993148
specifier-2.1,Analyser la demande,ELEC-52-2,Implémenter une application sur un système embarqué à l'aide de la documentation,0,0.1916132718
specifier-2.2,Définir des cas d’utilisation,ELEC-1-1,Distinguer les entrées/sorties sur un système à microprocesseur,0,0.1491864026
specifier-2.2,Définir des cas d’utilisation,ELEC-1-2,Distinguer les signaux analogiques et numériques,0,0.2113001645
specifier-2.2,Définir des cas d’utilisation,ELEC-1-3,Identifier les entrées/sorties d'un circuit logique,0,0.2357130498
specifier-2.2,Définir des cas d’utilisation,ELEC-2-1,Identifier les priorités de tâches dans un systèmes embarqué,0,0.2146103680
specifier-2.2,Définir des cas d’utilisation,ELEC-2-2,Traduire un cachier des charges en une table de vérité,0,0.2245330364
specifier-2.2,Définir des cas d’utilisation,ELEC-2-3,Programmer des entrées/sorties d'un système embarqué,0,0.1958865225
specifier-2.2,Définir des cas d’utilisation,ELEC-15-3,Différencier les capteurs en fonction de leurs propriétés et de la mesure physique,0,0.1759620756
specifier-2.2,Définir des cas d’utilisation,ELEC-15-4,Identifier les caractéristiques d'un systèmes à microprocesseur,0,0.1859370321
specifier-2.2,Définir des cas d’utilisation,ELEC-17-1,Identifier les outils logiciel pour la mise en œuvre d'un système embarqué,0,0.2892532945
specifier-2.2,Définir des cas d’utilisation,ELEC-17-2,Différencier les interfaces disponibles sur une carte électronique,0,0.1895712316
specifier-2.2,Définir des cas d’utilisation,ELEC-17-3,Distinguer les protocoles de communication dans un système embarqué,0,0.2811998129
specifier-2.2,Définir des cas d’utilisation,ELEC-17-4,Utiliser des actionneurs pour mettre en œuvre un système embarqué,0,0.3007577062
specifier-2.2,Définir des cas d’utilisation,ELEC-17-5,Analyser des filtres analogiques passifs et actifs en terme de gain,0,0.1249272302
specifier-2.2,Définir des cas d’utilisation,ELEC-31-2,Etablir une acquisition en choisissant le bon protocole de communication,0,0.2268707752
specifier-2.2,Définir des cas d’utilisation,ELEC-31-4,Utiliser la modulation de largeur d'impulsions pour piloter des actionneurs,0,0.2051170319
specifier-2.2,Définir des cas d’utilisation,ELEC-48-2,Programmer un système numérique pour générer un signal modulé en s'appuyant sur des paramètres pré-définis,0,0.2141018361
specifier-2.2,Définir des cas d’utilisation,ELEC-48-3,Intégrer des requêtes d'interruptions dans un programme,0,0.2593413293
specifier-2.2,Définir des cas d’utilisation,ELEC-48-4,Concevoir un programme avec du multithreading,0,0.1567073315
specifier-2.2,Définir des cas d’utilisation,ELEC-52-1,Evaluer un capteur en fonction d'une documentation,0,0.1566532254
specifier-2.2,Définir des cas d’utilisation,ELEC-52-2,Implémenter une application sur un système embarqué à l'aide de la documentation,0,0.2972921729
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-1-1,Distinguer les entrées/sorties sur un système à microprocesseur,0,0.1873396188
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-1-2,Distinguer les signaux analogiques et numériques,0,0.2775019407
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-1-3,Identifier les entrées/sorties d'un circuit logique,0,0.2676169276
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-2-1,Identifier les priorités de tâches dans un systèmes embarqué,0,0.2224901021
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-2-2,Traduire un cachier des charges en une table de vérité,0,0.2654464245
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-2-3,Programmer des entrées/sorties d'un système embarqué,0,0.1587773561
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-15-3,Différencier les capteurs en fonction de leurs propriétés et de la mesure physique,0,0.3901227117
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-15-4,Identifier les caractéristiques d'un systèmes à microprocesseur,0,0.3626004159
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-17-1,Identifier les outils logiciel pour la mise en œuvre d'un système embarqué,0,0.2726507187
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-17-2,Différencier les interfaces disponibles sur une carte électronique,0,0.3002984226
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-17-3,Distinguer les protocoles de communication dans un système embarqué,0,0.2370248735
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-17-4,Utiliser des actionneurs pour mettre en œuvre un système embarqué,0,0.2741008997
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-17-5,Analyser des filtres analogiques passifs et actifs en terme de gain,0,0.3632253110
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-31-2,Etablir une acquisition en choisissant le bon protocole de communication,0,0.2919570804
specifier-2.3,Caractériser l’utilisation des données au regard du RGPD,ELEC-31-4,Utiliser la modulation de largeur d'impulsions pour piloter des actionneurs,0,0.2554137409
