MODEL,COURSE,AC,AAD,PAIRS,POSITIVES,EVALUABLE-AC,UNDEFINED-AC,MEAN-AC-ROC-AUC
ColBERTv2-CamemBERT-FR,algo,79,76,6004,75,14,65,0.7165860691
ColBERTv2-CamemBERT-FR,bd,79,44,3476,72,11,68,0.5932340868
ColBERTv2-CamemBERT-FR,elec,79,20,1580,25,7,72,0.7223161765
ColBERTv2-CamemBERT-FR,python,79,30,2370,11,7,72,0.6904401018
ColBERTv2-CamemBERT-FR,ananum,79,51,4029,54,11,68,0.6216913798
ColBERTv2-CamemBERT-FR,progav,79,40,3160,68,11,68,0.7435189217
ColBERTv2-CamemBERT-FR,compil,79,24,1896,19,7,72,0.6674233462
ColBERTv2-CamemBERT-FR,tds,79,17,1343,26,11,68,0.5318278943
ColBERTv2-CamemBERT-FR,auto,79,37,2923,62,11,68,0.6738133998
ColBERTv2-CamemBERT-FR,bigdata,79,28,2212,51,29,50,0.6489283136
ColBERTv2-CamemBERT-FR,capt,79,19,1501,36,11,68,0.7084235209
ColBERTv2-CamemBERT-FR,ddrs31,79,5,395,4,3,76,0.7222222222
