AC-ID,POSITIVES,NEGATIVES,ROC-AUC,STATUS
specifier-1.1,0,44,,indefinie_une_seule_classe
specifier-1.2,3,41,0.5772357724,ok
specifier-1.3,9,35,0.4984126984,ok
specifier-2.1,3,41,0.8373983740,ok
specifier-2.2,0,44,,indefinie_une_seule_classe
specifier-2.3,0,44,,indefinie_une_seule_classe
specifier-3.1,0,44,,indefinie_une_seule_classe
specifier-3.2,0,44,,indefinie_une_seule_classe
specifier-3.3,0,44,,indefinie_une_seule_classe
specifier-4.1,0,44,,indefinie_une_seule_classe
specifier-4.2,0,44,,indefinie_une_seule_classe
specifier-4.3,0,44,,indefinie_une_seule_classe
modeliser-1.1,8,36,0.4305555556,ok
modeliser-1.2,0,44,,indefinie_une_seule_classe
modeliser-1.3,4,40,0.7312500000,ok
modeliser-1.4,0,44,,indefinie_une_seule_classe
modeliser-2.1,8,36,0.2881944444,ok
modeliser-2.2,0,44,,indefinie_une_seule_classe
modeliser-2.3,0,44,,indefinie_une_seule_classe
modeliser-2.4,0,44,,indefinie_une_seule_classe
modeliser-3.1,0,44,,indefinie_une_seule_classe
modeliser-3.2,0,44,,indefinie_une_seule_classe
modeliser-4.1,7,37,0.8841698842,ok
modeliser-4.2,0,44,,indefinie_une_seule_classe
modeliser-4.3,0,44,,indefinie_une_seule_classe
modeliser-4.4,0,44,,indefinie_une_seule_classe
concevoir-1.1,8,36,0.3055555556,ok
concevoir-1.2,0,44,,indefinie_une_seule_classe
concevoir-1.3,0,44,,indefinie_une_seule_classe
concevoir-2.1,0,44,,indefinie_une_seule_classe
concevoir-2.2,0,44,,indefinie_une_seule_classe
concevoir-2.3,0,44,,indefinie_une_seule_classe
concevoir-2.4,0,44,,indefinie_une_seule_classe
concevoir-2.5,0,44,,indefinie_une_seule_classe
concevoir-3.1,0,44,,indefinie_une_seule_classe
concevoir-3.2,0,44,,indefinie_une_seule_classe
concevoir-3.3,0,44,,indefinie_une_seule_classe
concevoir-3.4,0,44,,indefinie_une_seule_classe
concevoir-4.1,0,44,,indefinie_une_seule_classe
concevoir-4.2,0,44,,indefinie_une_seule_classe
concevoir-4.3,0,44,,indefinie_une_seule_classe
concevoir-4.4,0,44,,indefinie_une_seule_classe
concevoir-4.5,0,44,,indefinie_une_seule_classe
concevoir-4.6,0,44,,indefinie_une_seule_classe
developper-1.1,0,44,,indefinie_une_seule_classe
developper-1.2,0,44,,indefinie_une_seule_classe
developper-1.3,0,44,,indefinie_une_seule_classe
developper-2.1,0,44,,indefinie_une_seule_classe
developper-2.2,6,38,0.2763157895,ok
developper-3.1,8,36,0.4097222222,ok
developper-3.2,0,44,,indefinie_une_seule_classe
developper-3.3,0,44,,indefinie_une_seule_classe
developper-4.1,0,44,,indefinie_une_seule_classe
developper-4.2,0,44,,indefinie_une_seule_classe
gerer-1.1,0,44,,indefinie_une_seule_classe
gerer-1.2,0,44,,indefinie_une_seule_classe
gerer-2.1,0,44,,indefinie_une_seule_classe
gerer-2.2,0,44,,indefinie_une_seule_classe
gerer-2.3,0,44,,indefinie_une_seule_classe
gerer-3.1,0,44,,indefinie_une_seule_classe
gerer-3.2,0,44,,indefinie_une_seule_classe
gerer-3.3,0,44,,indefinie_une_seule_classe
gerer-4.1,0,44,,indefinie_une_seule_classe
gerer-4.2,0,44,,indefinie_une_seule_classe
gerer-4.3,0,44,,indefinie_une_seule_classe
communiquer-1.1,0,44,,indefinie_une_seule_classe
communiquer-1.2,0,44,,indefinie_une_seule_classe
communiquer-1.3,8,36,0.4131944444,ok
communiquer-2.1,0,44,,indefinie_une_seule_classe
communiquer-2.2,0,44,,indefinie_une_seule_classe
communiquer-2.3,0,44,,indefinie_une_seule_classe
communiquer-3.1,0,44,,indefinie_une_seule_classe
communiquer-3.2,0,44,,indefinie_une_seule_classe
communiquer-3.3,0,44,,indefinie_une_seule_classe
communiquer-3.4,0,44,,indefinie_une_seule_classe
communiquer-4.1,0,44,,indefinie_une_seule_classe
communiquer-4.2,0,44,,indefinie_une_seule_classe
communiquer-4.3,0,44,,indefinie_une_seule_classe
communiquer-4.4,0,44,,indefinie_une_seule_classe
