AC-ID,POSITIVES,NEGATIVES,ROC-AUC,STATUS
specifier-1.1,0,24,,indefinie_une_seule_classe
specifier-1.2,0,24,,indefinie_une_seule_classe
specifier-1.3,3,21,0.6507936508,ok
specifier-2.1,0,24,,indefinie_une_seule_classe
specifier-2.2,0,24,,indefinie_une_seule_classe
specifier-2.3,0,24,,indefinie_une_seule_classe
specifier-3.1,0,24,,indefinie_une_seule_classe
specifier-3.2,0,24,,indefinie_une_seule_classe
specifier-3.3,0,24,,indefinie_une_seule_classe
specifier-4.1,0,24,,indefinie_une_seule_classe
specifier-4.2,0,24,,indefinie_une_seule_classe
specifier-4.3,0,24,,indefinie_une_seule_classe
modeliser-1.1,3,21,0.4920634921,ok
modeliser-1.2,1,23,0.4782608696,ok
modeliser-1.3,3,21,0.8412698413,ok
modeliser-1.4,0,24,,indefinie_une_seule_classe
modeliser-2.1,2,22,0.2500000000,ok
modeliser-2.2,0,24,,indefinie_une_seule_classe
modeliser-2.3,0,24,,indefinie_une_seule_classe
modeliser-2.4,0,24,,indefinie_une_seule_classe
modeliser-3.1,0,24,,indefinie_une_seule_classe
modeliser-3.2,3,21,0.7936507937,ok
modeliser-4.1,0,24,,indefinie_une_seule_classe
modeliser-4.2,0,24,,indefinie_une_seule_classe
modeliser-4.3,0,24,,indefinie_une_seule_classe
modeliser-4.4,0,24,,indefinie_une_seule_classe
concevoir-1.1,0,24,,indefinie_une_seule_classe
concevoir-1.2,0,24,,indefinie_une_seule_classe
concevoir-1.3,0,24,,indefinie_une_seule_classe
concevoir-2.1,0,24,,indefinie_une_seule_classe
concevoir-2.2,0,24,,indefinie_une_seule_classe
concevoir-2.3,0,24,,indefinie_une_seule_classe
concevoir-2.4,0,24,,indefinie_une_seule_classe
concevoir-2.5,0,24,,indefinie_une_seule_classe
concevoir-3.1,0,24,,indefinie_une_seule_classe
concevoir-3.2,0,24,,indefinie_une_seule_classe
concevoir-3.3,0,24,,indefinie_une_seule_classe
concevoir-3.4,0,24,,indefinie_une_seule_classe
concevoir-4.1,0,24,,indefinie_une_seule_classe
concevoir-4.2,0,24,,indefinie_une_seule_classe
concevoir-4.3,0,24,,indefinie_une_seule_classe
concevoir-4.4,0,24,,indefinie_une_seule_classe
concevoir-4.5,0,24,,indefinie_une_seule_classe
concevoir-4.6,0,24,,indefinie_une_seule_classe
developper-1.1,0,24,,indefinie_une_seule_classe
developper-1.2,0,24,,indefinie_une_seule_classe
developper-1.3,0,24,,indefinie_une_seule_classe
developper-2.1,0,24,,indefinie_une_seule_classe
developper-2.2,0,24,,indefinie_une_seule_classe
developper-3.1,0,24,,indefinie_une_seule_classe
developper-3.2,0,24,,indefinie_une_seule_classe
developper-3.3,4,20,0.7000000000,ok
developper-4.1,0,24,,indefinie_une_seule_classe
developper-4.2,0,24,,indefinie_une_seule_classe
gerer-1.1,0,24,,indefinie_une_seule_classe
gerer-1.2,0,24,,indefinie_une_seule_classe
gerer-2.1,0,24,,indefinie_une_seule_classe
gerer-2.2,0,24,,indefinie_une_seule_classe
gerer-2.3,0,24,,indefinie_une_seule_classe
gerer-3.1,0,24,,indefinie_une_seule_classe
gerer-3.2,0,24,,indefinie_une_seule_classe
gerer-3.3,0,24,,indefinie_une_seule_classe
gerer-4.1,0,24,,indefinie_une_seule_classe
gerer-4.2,0,24,,indefinie_une_seule_classe
gerer-4.3,0,24,,indefinie_une_seule_classe
communiquer-1.1,0,24,,indefinie_une_seule_classe
communiquer-1.2,0,24,,indefinie_une_seule_classe
communiquer-1.3,0,24,,indefinie_une_seule_classe
communiquer-2.1,0,24,,indefinie_une_seule_classe
communiquer-2.2,0,24,,indefinie_une_seule_classe
communiquer-2.3,0,24,,indefinie_une_seule_classe
communiquer-3.1,0,24,,indefinie_une_seule_classe
communiquer-3.2,0,24,,indefinie_une_seule_classe
communiquer-3.3,0,24,,indefinie_une_seule_classe
communiquer-3.4,0,24,,indefinie_une_seule_classe
communiquer-4.1,0,24,,indefinie_une_seule_classe
communiquer-4.2,0,24,,indefinie_une_seule_classe
communiquer-4.3,0,24,,indefinie_une_seule_classe
communiquer-4.4,0,24,,indefinie_une_seule_classe
