AC-ID,POSITIVES,NEGATIVES,ROC-AUC,STATUS
specifier-1.1,0,40,,indefinie_une_seule_classe
specifier-1.2,0,40,,indefinie_une_seule_classe
specifier-1.3,0,40,,indefinie_une_seule_classe
specifier-2.1,0,40,,indefinie_une_seule_classe
specifier-2.2,0,40,,indefinie_une_seule_classe
specifier-2.3,0,40,,indefinie_une_seule_classe
specifier-3.1,0,40,,indefinie_une_seule_classe
specifier-3.2,0,40,,indefinie_une_seule_classe
specifier-3.3,0,40,,indefinie_une_seule_classe
specifier-4.1,0,40,,indefinie_une_seule_classe
specifier-4.2,0,40,,indefinie_une_seule_classe
specifier-4.3,0,40,,indefinie_une_seule_classe
modeliser-1.1,0,40,,indefinie_une_seule_classe
modeliser-1.2,0,40,,indefinie_une_seule_classe
modeliser-1.3,0,40,,indefinie_une_seule_classe
modeliser-1.4,0,40,,indefinie_une_seule_classe
modeliser-2.1,0,40,,indefinie_une_seule_classe
modeliser-2.2,0,40,,indefinie_une_seule_classe
modeliser-2.3,0,40,,indefinie_une_seule_classe
modeliser-2.4,0,40,,indefinie_une_seule_classe
modeliser-3.1,0,40,,indefinie_une_seule_classe
modeliser-3.2,0,40,,indefinie_une_seule_classe
modeliser-4.1,0,40,,indefinie_une_seule_classe
modeliser-4.2,0,40,,indefinie_une_seule_classe
modeliser-4.3,0,40,,indefinie_une_seule_classe
modeliser-4.4,0,40,,indefinie_une_seule_classe
concevoir-1.1,0,40,,indefinie_une_seule_classe
concevoir-1.2,0,40,,indefinie_une_seule_classe
concevoir-1.3,0,40,,indefinie_une_seule_classe
concevoir-2.1,0,40,,indefinie_une_seule_classe
concevoir-2.2,2,38,0.5394736842,ok
concevoir-2.3,0,40,,indefinie_une_seule_classe
concevoir-2.4,0,40,,indefinie_une_seule_classe
concevoir-2.5,0,40,,indefinie_une_seule_classe
concevoir-3.1,0,40,,indefinie_une_seule_classe
concevoir-3.2,2,38,0.6184210526,ok
concevoir-3.3,0,40,,indefinie_une_seule_classe
concevoir-3.4,2,38,0.8815789474,ok
concevoir-4.1,0,40,,indefinie_une_seule_classe
concevoir-4.2,0,40,,indefinie_une_seule_classe
concevoir-4.3,2,38,0.5131578947,ok
concevoir-4.4,0,40,,indefinie_une_seule_classe
concevoir-4.5,2,38,0.7763157895,ok
concevoir-4.6,0,40,,indefinie_une_seule_classe
developper-1.1,0,40,,indefinie_une_seule_classe
developper-1.2,0,40,,indefinie_une_seule_classe
developper-1.3,0,40,,indefinie_une_seule_classe
developper-2.1,23,17,0.5012787724,ok
developper-2.2,1,39,0.1282051282,ok
developper-3.1,22,18,0.4419191919,ok
developper-3.2,4,36,0.9166666667,ok
developper-3.3,0,40,,indefinie_une_seule_classe
developper-4.1,0,40,,indefinie_une_seule_classe
developper-4.2,0,40,,indefinie_une_seule_classe
gerer-1.1,0,40,,indefinie_une_seule_classe
gerer-1.2,0,40,,indefinie_une_seule_classe
gerer-2.1,4,36,0.8750000000,ok
gerer-2.2,0,40,,indefinie_une_seule_classe
gerer-2.3,4,36,0.7291666667,ok
gerer-3.1,0,40,,indefinie_une_seule_classe
gerer-3.2,0,40,,indefinie_une_seule_classe
gerer-3.3,0,40,,indefinie_une_seule_classe
gerer-4.1,0,40,,indefinie_une_seule_classe
gerer-4.2,0,40,,indefinie_une_seule_classe
gerer-4.3,0,40,,indefinie_une_seule_classe
communiquer-1.1,0,40,,indefinie_une_seule_classe
communiquer-1.2,0,40,,indefinie_une_seule_classe
communiquer-1.3,0,40,,indefinie_une_seule_classe
communiquer-2.1,0,40,,indefinie_une_seule_classe
communiquer-2.2,0,40,,indefinie_une_seule_classe
communiquer-2.3,0,40,,indefinie_une_seule_classe
communiquer-3.1,0,40,,indefinie_une_seule_classe
communiquer-3.2,0,40,,indefinie_une_seule_classe
communiquer-3.3,0,40,,indefinie_une_seule_classe
communiquer-3.4,0,40,,indefinie_une_seule_classe
communiquer-4.1,0,40,,indefinie_une_seule_classe
communiquer-4.2,0,40,,indefinie_une_seule_classe
communiquer-4.3,0,40,,indefinie_une_seule_classe
communiquer-4.4,0,40,,indefinie_une_seule_classe
