AC-ID,POSITIVES,NEGATIVES,ROC-AUC,STATUS
specifier-1.1,0,30,,indefinie_une_seule_classe
specifier-1.2,0,30,,indefinie_une_seule_classe
specifier-1.3,0,30,,indefinie_une_seule_classe
specifier-2.1,0,30,,indefinie_une_seule_classe
specifier-2.2,0,30,,indefinie_une_seule_classe
specifier-2.3,0,30,,indefinie_une_seule_classe
specifier-3.1,0,30,,indefinie_une_seule_classe
specifier-3.2,0,30,,indefinie_une_seule_classe
specifier-3.3,0,30,,indefinie_une_seule_classe
specifier-4.1,0,30,,indefinie_une_seule_classe
specifier-4.2,0,30,,indefinie_une_seule_classe
specifier-4.3,0,30,,indefinie_une_seule_classe
modeliser-1.1,0,30,,indefinie_une_seule_classe
modeliser-1.2,0,30,,indefinie_une_seule_classe
modeliser-1.3,0,30,,indefinie_une_seule_classe
modeliser-1.4,0,30,,indefinie_une_seule_classe
modeliser-2.1,0,30,,indefinie_une_seule_classe
modeliser-2.2,0,30,,indefinie_une_seule_classe
modeliser-2.3,0,30,,indefinie_une_seule_classe
modeliser-2.4,0,30,,indefinie_une_seule_classe
modeliser-3.1,0,30,,indefinie_une_seule_classe
modeliser-3.2,0,30,,indefinie_une_seule_classe
modeliser-4.1,0,30,,indefinie_une_seule_classe
modeliser-4.2,0,30,,indefinie_une_seule_classe
modeliser-4.3,0,30,,indefinie_une_seule_classe
modeliser-4.4,0,30,,indefinie_une_seule_classe
concevoir-1.1,0,30,,indefinie_une_seule_classe
concevoir-1.2,0,30,,indefinie_une_seule_classe
concevoir-1.3,0,30,,indefinie_une_seule_classe
concevoir-2.1,0,30,,indefinie_une_seule_classe
concevoir-2.2,0,30,,indefinie_une_seule_classe
concevoir-2.3,0,30,,indefinie_une_seule_classe
concevoir-2.4,0,30,,indefinie_une_seule_classe
concevoir-2.5,0,30,,indefinie_une_seule_classe
concevoir-3.1,0,30,,indefinie_une_seule_classe
concevoir-3.2,0,30,,indefinie_une_seule_classe
concevoir-3.3,0,30,,indefinie_une_seule_classe
concevoir-3.4,0,30,,indefinie_une_seule_classe
concevoir-4.1,0,30,,indefinie_une_seule_classe
concevoir-4.2,0,30,,indefinie_une_seule_classe
concevoir-4.3,0,30,,indefinie_une_seule_classe
concevoir-4.4,0,30,,indefinie_une_seule_classe
concevoir-4.5,0,30,,indefinie_une_seule_classe
concevoir-4.6,0,30,,indefinie_une_seule_classe
developper-1.1,0,30,,indefinie_une_seule_classe
developper-1.2,0,30,,indefinie_une_seule_classe
developper-1.3,0,30,,indefinie_une_seule_classe
developper-2.1,1,29,0.7586206897,ok
developper-2.2,0,30,,indefinie_une_seule_classe
developper-3.1,4,26,0.8846153846,ok
developper-3.2,1,29,0.9655172414,ok
developper-3.3,1,29,0.8620689655,ok
developper-4.1,2,28,0.3571428571,ok
developper-4.2,0,30,,indefinie_une_seule_classe
gerer-1.1,0,30,,indefinie_une_seule_classe
gerer-1.2,0,30,,indefinie_une_seule_classe
gerer-2.1,0,30,,indefinie_une_seule_classe
gerer-2.2,1,29,1.0000000000,ok
gerer-2.3,1,29,0.8620689655,ok
gerer-3.1,0,30,,indefinie_une_seule_classe
gerer-3.2,0,30,,indefinie_une_seule_classe
gerer-3.3,0,30,,indefinie_une_seule_classe
gerer-4.1,0,30,,indefinie_une_seule_classe
gerer-4.2,0,30,,indefinie_une_seule_classe
gerer-4.3,0,30,,indefinie_une_seule_classe
communiquer-1.1,0,30,,indefinie_une_seule_classe
communiquer-1.2,0,30,,indefinie_une_seule_classe
communiquer-1.3,0,30,,indefinie_une_seule_classe
communiquer-2.1,0,30,,indefinie_une_seule_classe
communiquer-2.2,0,30,,indefinie_une_seule_classe
communiquer-2.3,0,30,,indefinie_une_seule_classe
communiquer-3.1,0,30,,indefinie_une_seule_classe
communiquer-3.2,0,30,,indefinie_une_seule_classe
communiquer-3.3,0,30,,indefinie_une_seule_classe
communiquer-3.4,0,30,,indefinie_une_seule_classe
communiquer-4.1,0,30,,indefinie_une_seule_classe
communiquer-4.2,0,30,,indefinie_une_seule_classe
communiquer-4.3,0,30,,indefinie_une_seule_classe
communiquer-4.4,0,30,,indefinie_une_seule_classe
