AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-1-1,Retrouver les dimensions d’une matrice,1,0.5143169761
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-1-2,Identifier les différents type de matrice (structure et taille),1,0.5358794928
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-1-3,Identifier et connaître un problème des moindres carrés,1,0.5180547237
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-2-1,Retrouver le schema de résolution des moindres carrés avec la méthode du gradient,0,0.4800478816
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-3-1,Maitriser les opérations vectorielles (produit scalaire,0,0.5259322524
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-14-1,Etre capable de représenter un systèmes d’équation linéaire sous forme matricielle,0,0.4826725125
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-3,Connaitre les propriétés d’une matrice de Gauss,0,0.5058305860
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-4,Connaitre les propriétés d’une matrice de permutation,0,0.5072995424
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-5,Connaitre les propriétés d’une matrice définie positive,0,0.5006732345
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-6,Connaitre les propriétés d’une matrice orthogonale,0,0.5175271630
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-7,Connaitre les propriétés d’une matrice de Householder,0,0.5034486651
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-8,Connaitre les propriétés des normes matricielles et vectorielles,0,0.5027425885
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-9,Connaitre les propriétés de la décomposition valeurs propres,0,0.4932488799
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-10,Connaitre les propriétés de la décomposition valeurs singulières,0,0.5022734404
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-16-1,Connaitre les conditions d’applications de Cholesky et LDL,0,0.4632118344
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-16-2,Identifier les avantages/limites des méthodes décomposition,0,0.5145646334
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-16-3,Identifier les similitudes et différences entre Jacobi,0,0.5330239534
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-1,Etre capable d’implémenter un produit matriciel,0,0.4874670208
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-2,Etre capable d’implémenter un produit matriciel de différentes manières,0,0.5009720325
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-3,Connaitre les complexités des opérations vectorielles et matricielles,0,0.5151731968
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-4,Implémenter la résolution d’un systeme d’équation linéaire avec matrice diagonale,0,0.4984652996
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-5,Implémenter la résolution d’un systeme d’équation linéaire avec matrice triangulaire,0,0.5224503279
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-6,Retrouver l’algorithme de calcul de l’inverse d’une matrice triangulaire,0,0.5131587982
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-7,Retrouver les variantes (exterieur/recursive/trisup) de Cholesky,0,0.4808224440
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-8,Connaitre les complexités des la résolution de systeme d’équation triangulaires,0,0.5016821623
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-9,Retrouver le schema de résolution de Ax=b donné A=LU,0,0.5346083045
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-10,Calculer une matrice triangulaire supérieure en utilisant les matrices de Gauss,0,0.4976074398
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-11,Connaitre l’algorithme de décomposition PA=LU,0,0.5034707189
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-12,Retrouver le schema de résolution de Ax=b donné PA=LU,0,0.5313958526
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-13,Retrouver l’algorithme de décomposition A=LDL,0,0.4955409169
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-14,Retrouver l’algorithme de Cholesky,0,0.5038253665
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-16,Retrouver le schema de résolution des moindres carrés avec QR,0,0.4797609448
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-17,Retrouver l’algorithme de décomposition QR avec Householder,0,0.4869645238
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-18,Connaitre le principe des méthodes itératives,0,0.5022345781
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-19,Connaitre le principe de PageRank,0,0.5095548034
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-20,Calculer  une valeur propre en utilisant l’algorithme des puissances itérées,0,0.4721505940
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-21,Implémenter l’algorithme QR pour les valeurs propres,0,0.4801174402
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-22,Calculer les valeurs singulieres d’une matrice a partir des valeurs propres,0,0.4704176188
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-23,Implémenter l’algorithme de bidiagonisation pour le calcul de la SVD,0,0.4901478291
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-30-1,Estimer les valeurs propres avec les cercles de Gershgorin,0,0.4725366831
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-31-1,Appliquer les décompositions valeurs propres/singulières pour du débruitage d’images ( ??),0,0.4985325634
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-32-1,Exploiter les structures particulières de matrices,0,0.5282084942
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-32-2,Optimiser l’implémentation de la transformation de Gauss,0,0.4933380783
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-32-3,Optmisier l’approche QR pour les valeurs propres avec la forme tridiagonale,0,0.4773757458
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-49-1,Etre capable de coder en Python/numpy le produit matriciel,0,0.4826768041
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-49-2,Implémenter en Python/numpy l’algorithme de décomposition LU,0,0.4705607891
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-49-3,Implémenter en Python/numpy l’algorithme de décomposition PALU,0,0.4811477065
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-49-4,Implémenter LDL et Cholesky en python/numpy,0,0.4528504908
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-49-5,Implémenter efficacement en Python/numpy l’algorithme de décomposition QR,0,0.4838829041
