AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS1.1,Décomposer une chaine de traitement du signal,0,0.5150573850
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS1.2,Identifier les différents types de signaux,1,0.5599695444
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS1.3,Comparer deux signaux temporel avec une correlation,0,0.5201977491
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS2.1,Calculer une représentation fréquentielle des signaux,0,0.5078009963
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS4.1,Identifier les différents types de systèmes,1,0.5656927228
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS4.2,Calculer la réponse d’un système linéaire,0,0.5077067614
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS4.3,Calculer une transformée de Laplace,0,0.5067963600
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS4.4,Caractériser la réponse fréquentielle d’un système linéaire,0,0.4906191826
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS5.1,synthétiser un filtre linéaire continu,0,0.4948399961
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS6.1,Echantillonner un signal continu,0,0.5174870491
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS7.1,Calculer une représentation fréquentielle d’un signal discret,0,0.4985587597
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS8.1,Caractériser un système linéaire discret,0,0.5092746019
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS8.2,Transiter d’une représentation temporelle à fréquentielle et inversement,0,0.5137493610
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS8.3,Calculer une transformée en Z,0,0.5169866085
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS9.1,Caractériser un filtre numérique,0,0.5353607535
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS9.2,Identifier un filtre RIF ou RII,0,0.5458462238
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,TDS9.3,Synthétiser un filtre linéaire numérique,1,0.5073429346
specifier-1.2,Décomposer et organiser un processus,TDS1.1,Décomposer une chaine de traitement du signal,1,0.6009472609
specifier-1.2,Décomposer et organiser un processus,TDS1.2,Identifier les différents types de signaux,0,0.5530518293
specifier-1.2,Décomposer et organiser un processus,TDS1.3,Comparer deux signaux temporel avec une correlation,0,0.5348178148
specifier-1.2,Décomposer et organiser un processus,TDS2.1,Calculer une représentation fréquentielle des signaux,0,0.5242768526
specifier-1.2,Décomposer et organiser un processus,TDS4.1,Identifier les différents types de systèmes,0,0.5482659340
specifier-1.2,Décomposer et organiser un processus,TDS4.2,Calculer la réponse d’un système linéaire,0,0.5243823528
specifier-1.2,Décomposer et organiser un processus,TDS4.3,Calculer une transformée de Laplace,0,0.5242626667
