MODEL,COURSE,AC,AAD,PAIRS,POSITIVES,EVALUABLE-AC,UNDEFINED-AC,MEAN-AC-ROC-AUC
Jina-ColBERT-v2,algo,79,76,6004,75,14,65,0.6912140090
Jina-ColBERT-v2,bd,79,44,3476,72,11,68,0.5138186128
Jina-ColBERT-v2,elec,79,20,1580,25,7,72,0.6679674370
Jina-ColBERT-v2,python,79,30,2370,11,7,72,0.8128620148
Jina-ColBERT-v2,ananum,79,51,4029,54,11,68,0.6006948112
Jina-ColBERT-v2,progav,79,40,3160,68,11,68,0.6291985268
Jina-ColBERT-v2,compil,79,24,1896,19,7,72,0.6008626639
Jina-ColBERT-v2,tds,79,17,1343,26,11,68,0.5506063381
Jina-ColBERT-v2,auto,79,37,2923,62,11,68,0.6205558237
Jina-ColBERT-v2,bigdata,79,28,2212,51,29,50,0.7451515535
Jina-ColBERT-v2,capt,79,19,1501,36,11,68,0.6987638995
Jina-ColBERT-v2,ddrs31,79,5,395,4,3,76,0.8055555556
