AC-ID,POSITIVES,NEGATIVES,ROC-AUC,STATUS
specifier-1.1,3,34,0.4705882353,ok
specifier-1.2,0,37,,indefinie_une_seule_classe
specifier-1.3,3,34,0.7745098039,ok
specifier-2.1,2,35,0.6714285714,ok
specifier-2.2,0,37,,indefinie_une_seule_classe
specifier-2.3,0,37,,indefinie_une_seule_classe
specifier-3.1,0,37,,indefinie_une_seule_classe
specifier-3.2,0,37,,indefinie_une_seule_classe
specifier-3.3,0,37,,indefinie_une_seule_classe
specifier-4.1,0,37,,indefinie_une_seule_classe
specifier-4.2,0,37,,indefinie_une_seule_classe
specifier-4.3,0,37,,indefinie_une_seule_classe
modeliser-1.1,0,37,,indefinie_une_seule_classe
modeliser-1.2,4,33,0.4469696970,ok
modeliser-1.3,0,37,,indefinie_une_seule_classe
modeliser-1.4,0,37,,indefinie_une_seule_classe
modeliser-2.1,9,28,0.5000000000,ok
modeliser-2.2,4,33,0.6212121212,ok
modeliser-2.3,0,37,,indefinie_une_seule_classe
modeliser-2.4,0,37,,indefinie_une_seule_classe
modeliser-3.1,0,37,,indefinie_une_seule_classe
modeliser-3.2,0,37,,indefinie_une_seule_classe
modeliser-4.1,0,37,,indefinie_une_seule_classe
modeliser-4.2,0,37,,indefinie_une_seule_classe
modeliser-4.3,0,37,,indefinie_une_seule_classe
modeliser-4.4,0,37,,indefinie_une_seule_classe
concevoir-1.1,0,37,,indefinie_une_seule_classe
concevoir-1.2,0,37,,indefinie_une_seule_classe
concevoir-1.3,0,37,,indefinie_une_seule_classe
concevoir-2.1,0,37,,indefinie_une_seule_classe
concevoir-2.2,0,37,,indefinie_une_seule_classe
concevoir-2.3,0,37,,indefinie_une_seule_classe
concevoir-2.4,3,34,0.4215686275,ok
concevoir-2.5,0,37,,indefinie_une_seule_classe
concevoir-3.1,0,37,,indefinie_une_seule_classe
concevoir-3.2,0,37,,indefinie_une_seule_classe
concevoir-3.3,0,37,,indefinie_une_seule_classe
concevoir-3.4,0,37,,indefinie_une_seule_classe
concevoir-4.1,0,37,,indefinie_une_seule_classe
concevoir-4.2,0,37,,indefinie_une_seule_classe
concevoir-4.3,0,37,,indefinie_une_seule_classe
concevoir-4.4,0,37,,indefinie_une_seule_classe
concevoir-4.5,0,37,,indefinie_une_seule_classe
concevoir-4.6,0,37,,indefinie_une_seule_classe
developper-1.1,0,37,,indefinie_une_seule_classe
developper-1.2,0,37,,indefinie_une_seule_classe
developper-1.3,6,31,0.8010752688,ok
developper-2.1,0,37,,indefinie_une_seule_classe
developper-2.2,0,37,,indefinie_une_seule_classe
developper-3.1,0,37,,indefinie_une_seule_classe
developper-3.2,0,37,,indefinie_une_seule_classe
developper-3.3,0,37,,indefinie_une_seule_classe
developper-4.1,0,37,,indefinie_une_seule_classe
developper-4.2,0,37,,indefinie_une_seule_classe
gerer-1.1,0,37,,indefinie_une_seule_classe
gerer-1.2,0,37,,indefinie_une_seule_classe
gerer-2.1,0,37,,indefinie_une_seule_classe
gerer-2.2,0,37,,indefinie_une_seule_classe
gerer-2.3,0,37,,indefinie_une_seule_classe
gerer-3.1,0,37,,indefinie_une_seule_classe
gerer-3.2,0,37,,indefinie_une_seule_classe
gerer-3.3,0,37,,indefinie_une_seule_classe
gerer-4.1,0,37,,indefinie_une_seule_classe
gerer-4.2,0,37,,indefinie_une_seule_classe
gerer-4.3,0,37,,indefinie_une_seule_classe
communiquer-1.1,0,37,,indefinie_une_seule_classe
communiquer-1.2,0,37,,indefinie_une_seule_classe
communiquer-1.3,0,37,,indefinie_une_seule_classe
communiquer-2.1,0,37,,indefinie_une_seule_classe
communiquer-2.2,0,37,,indefinie_une_seule_classe
communiquer-2.3,0,37,,indefinie_une_seule_classe
communiquer-3.1,18,19,0.7894736842,ok
communiquer-3.2,7,30,0.7095238095,ok
communiquer-3.3,0,37,,indefinie_une_seule_classe
communiquer-3.4,3,34,0.9705882353,ok
communiquer-4.1,0,37,,indefinie_une_seule_classe
communiquer-4.2,0,37,,indefinie_une_seule_classe
communiquer-4.3,0,37,,indefinie_une_seule_classe
communiquer-4.4,0,37,,indefinie_une_seule_classe
