AC-ID,POSITIVES,NEGATIVES,ROC-AUC,STATUS
specifier-1.1,2,26,0.8653846154,ok
specifier-1.2,5,23,0.4391304348,ok
specifier-1.3,1,27,0.2962962963,ok
specifier-2.1,4,24,0.4583333333,ok
specifier-2.2,1,27,0.7777777778,ok
specifier-2.3,0,28,,indefinie_une_seule_classe
specifier-3.1,0,28,,indefinie_une_seule_classe
specifier-3.2,0,28,,indefinie_une_seule_classe
specifier-3.3,0,28,,indefinie_une_seule_classe
specifier-4.1,0,28,,indefinie_une_seule_classe
specifier-4.2,0,28,,indefinie_une_seule_classe
specifier-4.3,0,28,,indefinie_une_seule_classe
modeliser-1.1,0,28,,indefinie_une_seule_classe
modeliser-1.2,0,28,,indefinie_une_seule_classe
modeliser-1.3,0,28,,indefinie_une_seule_classe
modeliser-1.4,1,27,0.6666666667,ok
modeliser-2.1,1,27,0.5185185185,ok
modeliser-2.2,2,26,0.5769230769,ok
modeliser-2.3,0,28,,indefinie_une_seule_classe
modeliser-2.4,1,27,0.5555555556,ok
modeliser-3.1,0,28,,indefinie_une_seule_classe
modeliser-3.2,0,28,,indefinie_une_seule_classe
modeliser-4.1,0,28,,indefinie_une_seule_classe
modeliser-4.2,0,28,,indefinie_une_seule_classe
modeliser-4.3,0,28,,indefinie_une_seule_classe
modeliser-4.4,1,27,0.2037037037,ok
concevoir-1.1,1,27,0.2777777778,ok
concevoir-1.2,0,28,,indefinie_une_seule_classe
concevoir-1.3,1,27,0.8518518519,ok
concevoir-2.1,1,27,0.0555555556,ok
concevoir-2.2,0,28,,indefinie_une_seule_classe
concevoir-2.3,2,26,0.4038461538,ok
concevoir-2.4,0,28,,indefinie_une_seule_classe
concevoir-2.5,1,27,0.7037037037,ok
concevoir-3.1,1,27,0.6296296296,ok
concevoir-3.2,0,28,,indefinie_une_seule_classe
concevoir-3.3,0,28,,indefinie_une_seule_classe
concevoir-3.4,2,26,0.5576923077,ok
concevoir-4.1,0,28,,indefinie_une_seule_classe
concevoir-4.2,1,27,0.5925925926,ok
concevoir-4.3,1,27,1.0000000000,ok
concevoir-4.4,0,28,,indefinie_une_seule_classe
concevoir-4.5,1,27,0.9629629630,ok
concevoir-4.6,0,28,,indefinie_une_seule_classe
developper-1.1,0,28,,indefinie_une_seule_classe
developper-1.2,0,28,,indefinie_une_seule_classe
developper-1.3,1,27,0.7037037037,ok
developper-2.1,0,28,,indefinie_une_seule_classe
developper-2.2,2,26,0.6346153846,ok
developper-3.1,0,28,,indefinie_une_seule_classe
developper-3.2,1,27,1.0000000000,ok
developper-3.3,5,23,0.6260869565,ok
developper-4.1,0,28,,indefinie_une_seule_classe
developper-4.2,3,25,0.5466666667,ok
gerer-1.1,0,28,,indefinie_une_seule_classe
gerer-1.2,0,28,,indefinie_une_seule_classe
gerer-2.1,0,28,,indefinie_une_seule_classe
gerer-2.2,0,28,,indefinie_une_seule_classe
gerer-2.3,0,28,,indefinie_une_seule_classe
gerer-3.1,0,28,,indefinie_une_seule_classe
gerer-3.2,0,28,,indefinie_une_seule_classe
gerer-3.3,0,28,,indefinie_une_seule_classe
gerer-4.1,0,28,,indefinie_une_seule_classe
gerer-4.2,0,28,,indefinie_une_seule_classe
gerer-4.3,0,28,,indefinie_une_seule_classe
communiquer-1.1,0,28,,indefinie_une_seule_classe
communiquer-1.2,0,28,,indefinie_une_seule_classe
communiquer-1.3,0,28,,indefinie_une_seule_classe
communiquer-2.1,0,28,,indefinie_une_seule_classe
communiquer-2.2,1,27,1.0000000000,ok
communiquer-2.3,0,28,,indefinie_une_seule_classe
communiquer-3.1,2,26,1.0000000000,ok
communiquer-3.2,3,25,0.8533333333,ok
communiquer-3.3,0,28,,indefinie_une_seule_classe
communiquer-3.4,2,26,0.5673076923,ok
communiquer-4.1,0,28,,indefinie_une_seule_classe
communiquer-4.2,0,28,,indefinie_une_seule_classe
communiquer-4.3,0,28,,indefinie_une_seule_classe
communiquer-4.4,0,28,,indefinie_une_seule_classe
