MODEL,COURSE,AC,AAD,PAIRS,POSITIVES,EVALUABLE-AC,UNDEFINED-AC,MEAN-AC-ROC-AUC
TF-IDF,auto,79,37,2923,62,11,68,0.5801626605
LSA,auto,79,37,2923,62,11,68,0.5864038543
TF-IDF,bigdata,79,28,2212,51,29,50,0.6319178018
LSA,bigdata,79,28,2212,51,29,50,0.6132459144
TF-IDF,capt,79,19,1501,36,11,68,0.7066680460
LSA,capt,79,19,1501,36,11,68,0.7075609031
TF-IDF,ddrs31,79,5,395,4,3,76,0.5694444444
LSA,ddrs31,79,5,395,4,3,76,0.5833333333
Sentence-CamemBERT-Large,auto,79,37,2923,62,11,68,0.6538716918
Sentence-CamemBERT-Large,bigdata,79,28,2212,51,29,50,0.7349664057
Sentence-CamemBERT-Large,capt,79,19,1501,36,11,68,0.6892178083
Sentence-CamemBERT-Large,ddrs31,79,5,395,4,3,76,0.8611111111
TF-Sentence-CamemBERT-Large (Hybrid alpha=0.9),auto,79,37,2923,62,11,68,0.6341890430
TF-Sentence-CamemBERT-Large (Hybrid alpha=0.9),bigdata,79,28,2212,51,29,50,0.6747271023
TF-Sentence-CamemBERT-Large (Hybrid alpha=0.9),capt,79,19,1501,36,11,68,0.7450290722
TF-Sentence-CamemBERT-Large (Hybrid alpha=0.9),ddrs31,79,5,395,4,3,76,0.6388888889
LSA-Sentence-CamemBERT-Large (Hybrid alpha=0.8),auto,79,37,2923,62,11,68,0.6524489140
LSA-Sentence-CamemBERT-Large (Hybrid alpha=0.8),bigdata,79,28,2212,51,29,50,0.6869047314
LSA-Sentence-CamemBERT-Large (Hybrid alpha=0.8),capt,79,19,1501,36,11,68,0.7643249724
LSA-Sentence-CamemBERT-Large (Hybrid alpha=0.8),ddrs31,79,5,395,4,3,76,0.6388888889
