AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT01,"Définir et classer les systèmes selon des caractéristiques telles que : statique/dynamique, monovariable/multivariable, continu/discret, linéaire/non-linéaire, causal et invariant.",1
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT02,"Décrire la nature des signaux d'entrée/sortie, qu'ils soient continus ou discrets.",1
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT03,"Identifier la classe d’un système à partir de sa réponse indicielle, impulsionnelle, etc.",1
specifier-1.3,Utiliser un langage formel,AUTO-AUT04,Représenter des signaux en utilisant un outil numérique (Scilab),1
specifier-1.3,Utiliser un langage formel,AUTO-AUT05,Analyser la stabilité d’un système en étudiant sa fonction de transfert à l’aide d’un outil numérique (Scilab),1
specifier-1.3,Utiliser un langage formel,AUTO-AUT06,"Tracer des les diagrammes de réponse en fréquence (gain, phase) à l’aide d’un outil numérique (Scilab)",1
specifier-2.1,Analyser la demande,AUTO-AUT07,"Identifier les exigences clés dans la conception d’un système de commande : stabilité, marges, précision, rapidité, rejet des perturbations, robustesse.",1
specifier-2.1,Analyser la demande,AUTO-AUT08,"Proposer une stratégie générale pour analyser un système non corrigé, définir les exigences, synthétiser un correcteur et vérifier les performances.",1
modeliser-1.2,Déterminer les propriétés des entrées sorties d’un composant logiciel ou matériel,AUTO-AUT01,"Définir et classer les systèmes selon des caractéristiques telles que : statique/dynamique, monovariable/multivariable, continu/discret, linéaire/non-linéaire, causal et invariant.",1
modeliser-1.2,Déterminer les propriétés des entrées sorties d’un composant logiciel ou matériel,AUTO-AUT09,Déterminer la fonction de transfert d'un système LTI continu à partir de son équation différentielle.,1
modeliser-1.2,Déterminer les propriétés des entrées sorties d’un composant logiciel ou matériel,AUTO-AUT10,"Identifier les éléments caractéristiques d'une fonction de transfert : pôles, zéros et gain.",1
modeliser-1.2,Déterminer les propriétés des entrées sorties d’un composant logiciel ou matériel,AUTO-AUT11,"Analyser la réponse temporelle des systèmes du premier ordre (intégrateur, premier ordre) soumis à des signaux d’entrée standards.",1
modeliser-2.1,Analyser les données numériques et symboliques du problème,AUTO-AUT13,Appliquer la transformée de Laplace et ses propriétés aux signaux et aux systèmes.,1
modeliser-2.1,Analyser les données numériques et symboliques du problème,AUTO-AUT09,Déterminer la fonction de transfert d'un système LTI continu à partir de son équation différentielle.,1
modeliser-2.1,Analyser les données numériques et symboliques du problème,AUTO-AUT10,"Identifier les éléments caractéristiques d'une fonction de transfert : pôles, zéros et gain.",1
modeliser-2.1,Analyser les données numériques et symboliques du problème,AUTO-AUT11,"Analyser la réponse temporelle des systèmes du premier ordre (intégrateur, premier ordre) soumis à des signaux d’entrée standards.",1
modeliser-2.1,Analyser les données numériques et symboliques du problème,AUTO-AUT12,"Analyser les caractéristiques temporelles (amortissement, oscillations, temps de stabilisation) des systèmes du second ordre en fonction de leurs pôles et de leurs paramètres.",1
modeliser-2.1,Analyser les données numériques et symboliques du problème,AUTO-AUT14,"Analyser la réponse fréquentielle des systèmes LTI à l’aide des diagrammes de Bode, Nyquist et Black.",1
modeliser-2.1,Analyser les données numériques et symboliques du problème,AUTO-AUT15,Appliquer le critère de Routh pour déterminer la stabilité d’un système en boucle fermée à partir de son équation caractéristique.,1
modeliser-2.1,Analyser les données numériques et symboliques du problème,AUTO-AUT16,Appliquer le critère de Nyquist pour déterminer la stabilité en boucle fermée à partir du diagramme de la fonction de transfert en boucle ouverte autour du point critique (-1).,1
modeliser-2.1,Analyser les données numériques et symboliques du problème,AUTO-AUT17,"Évaluer les performances dynamiques (rapidité, amortissement) des systèmes en boucle fermée, en les reliant si possible aux caractéristiques en boucle ouverte.",1
modeliser-2.2,Comparer les différentes représentations numériques et symboliques des données,AUTO-AUT14,"Analyser la réponse fréquentielle des systèmes LTI à l’aide des diagrammes de Bode, Nyquist et Black.",1
modeliser-2.2,Comparer les différentes représentations numériques et symboliques des données,AUTO-AUT18,"Interpréter les diagrammes de réponse fréquentielle (gain, phase) pour les systèmes élémentaires : gain pur, intégrateur, dérivateur, éléments du premier et du second ordre.",1
modeliser-2.2,Comparer les différentes représentations numériques et symboliques des données,AUTO-AUT19,"Relier les performances en temps (constante de temps, temps de montée) aux notions fréquentielles (fréquence de coupure, bande passante) pour les systèmes du premier ordre.",1
