AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL
specifier-2.1,Analyser la demande,BGD-CBD02,Expliquer les enjeux liés au traitement de données massives,1
specifier-2.1,Analyser la demande,BGD-CBD03,Expliquer les limites des systèmes de gestion de données traditionnels,1
specifier-2.1,Analyser la demande,BGD-TRD04,Identifier les limites des traitements batch pour certaines applications,1
specifier-2.1,Analyser la demande,BGD-TRT01,Expliquer les principes du traitement de données en flux,1
modeliser-2.1,Analyser les données numériques et symboliques du problème,BGD-CBD03,Expliquer les limites des systèmes de gestion de données traditionnels,1
specifier-1.2,Décomposer et organiser un processus,BGD-ARC01,Décrire l'organisation générale d'un système Big Data,1
specifier-1.2,Décomposer et organiser un processus,BGD-ARC02,"Expliquer le rôle des différentes couches (batch, temps réel, stockage)",1
specifier-1.2,Décomposer et organiser un processus,BGD-ARC03,"Décrire les étapes de traitement des données (collecte, traitement, stockage)",1
specifier-1.2,Décomposer et organiser un processus,BGD-TRD01,Décrire le principe du traitement de données en mode batch,1
specifier-1.2,Décomposer et organiser un processus,BGD-TRT03,"Décrire les étapes d'un traitement de données en temps réel (collecte, traitement, stockage)",1
specifier-2.2,Définir des cas d’utilisation,BGD-ARC02,"Expliquer le rôle des différentes couches (batch, temps réel, stockage)",1
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO01,Décrire les principes du stockage distribué des données,1
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL01,Décrire les mécanismes de collecte de données dans un système distribué,1
modeliser-1.4,Identifier le rôle des composants d’un ordinateur ou des systèmes électroniques,BGD-STO01,Décrire les principes du stockage distribué des données,1
modeliser-2.4,Identifier le fonctionnement et les différentes implantations des composants d’un ordinateur ou des systèmes électroniques,BGD-STO02,"Expliquer les mécanismes assurant la fiabilité des données (réplication, distribution)",1
modeliser-2.2,Comparer les différentes représentations numériques et symboliques des données,BGD-STO03,Identifier différents types de bases de données adaptées au Big Data,1
